date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog
2020-01-01,2020,01,01,40.3,29.9,1003.0,10.0,11.4,20,26.0,52.0,36.0,0.01,999.9,1
2020-01-02,2020,01,02,39.6,28.9,1011.8,10.0,13,19,26.0,46.0,33.1,0.01,999.9,0
2020-01-03,2020,01,03,45.8,42.9,1010.3,7.0,10.3,15,999.9,46.9,33.1,0.0,999.9,1
2020-01-04,2020,01,04,45.4,43.9,1005.6,3.6,5.7,9.9,999.9,48.9,44.1,0.08,999.9,1
2020-01-05,2020,01,05,40.1,33.8,1001.6,7.1,17,27,38.1,48.9,36.0,0.38,999.9,1
2020-01-06,2020,01,06,33.5,24.0,1013.2,9.9,5.3,15,999.9,43.0,24.1,0.01,999.9,1
2020-01-07,2020,01,07,39.0,26.6,1016.6,10.0,8,13,999.9,43.0,24.1,0.0,999.9,0
2020-01-08,2020,01,08,37.2,31.1,1009.8,8.4,14.1,24.1,35.0,43.0,33.1,0.49,999.9,1
2020-01-09,2020,01,09,29.5,10.8,1030.7,10.0,15.3,22,35.0,42.1,24.1,0.34,999.9,0
2020-01-10,2020,01,10,39.7,32.2,1036.6,9.3,11.3,17.1,24.1,50.0,21.0,0.0,999.9,0
2020-01-11,2020,01,11,49.4,46.1,1028.6,6.7,13.8,21,27.0,53.1,46.9,0.0,999.9,1
2020-01-12,2020,01,12,52.0,49.4,1017.2,2.9,19,26,36.9,55.9,44.6,0.0,999.9,1
2020-01-13,2020,01,13,42.5,37.0,1029.6,9.5,9.2,13,999.9,57.0,39.9,0.01,999.9,0
2020-01-14,2020,01,14,41.5,37.7,1026.2,8.8,5.3,8.9,999.9,44.1,37.9,0.0,999.9,0
2020-01-15,2020,01,15,43.9,38.3,1019.4,8.2,5.4,14,15.0,51.1,35.1,0.02,999.9,1
2020-01-16,2020,01,16,40.4,34.3,1010.7,6.6,11,28.9,44.1,48.9,30.2,0.01,999.9,1
2020-01-17,2020,01,17,27.1,10.8,1023.8,10.0,24,28.9,40.0,50.0,21.9,0.04,999.9,0
2020-01-18,2020,01,18,23.5,14.3,1032.4,9.6,8.4,17.1,29.9,33.1,19.0,0.0,999.9,1
2020-01-19,2020,01,19,41.2,35.8,1004.9,7.5,14.4,22,27.0,46.9,19.0,0.21,999.9,1
2020-01-20,2020,01,20,28.1,16.1,1015.1,10.0,15.7,20,27.0,46.9,21.9,0.04,999.9,0
2020-01-21,2020,01,21,27.8,15.2,1026.8,10.0,11.5,15.9,999.9,34.0,21.9,0.0,999.9,0
2020-01-22,2020,01,22,27.1,14.3,1029.8,10.0,4.2,8.9,999.9,34.0,17.1,0.0,999.9,0
2020-01-23,2020,01,23,32.3,26.5,1029.2,9.7,4.7,11.1,999.9,45.0,17.1,0.0,999.9,0
2020-01-24,2020,01,24,37.3,33.7,1028.5,6.5,3.3,8,999.9,46.0,19.9,0.0,999.9,1
2020-01-25,2020,01,25,43.1,39.6,1023.5,9.0,12.3,20,28.9,48.9,28.0,0.0,999.9,1
2020-01-26,2020,01,26,44.3,40.7,1006.4,6.5,13,19,28.0,51.1,36.0,0.44,999.9,1
2020-01-27,2020,01,27,40.1,33.8,1004.3,10.0,10.5,18.1,24.1,51.1,36.0,0.01,999.9,0
2020-01-28,2020,01,28,39.4,28.8,1005.1,10.0,9.8,17.1,21.0,45.0,36.0,0.0,999.9,0
2020-01-29,2020,01,29,35.3,22.5,1013.1,10.0,12.9,17.1,22.9,43.0,30.0,0.0,999.9,0
2020-01-30,2020,01,30,31.6,19.4,1023.4,10.0,9.4,15,999.9,37.0,21.9,0.0,999.9,0
2020-01-31,2020,01,31,29.8,22.3,1027.4,10.0,3.3,8.9,999.9,39.9,19.0,0.0,999.9,0
2020-02-01,2020,02,01,39.7,35.2,1015.9,9.9,7.2,12,999.9,44.1,37.0,0.04,999.9,1
2020-02-02,2020,02,02,38.5,33.0,1000.4,9.3,7.9,12,999.9,42.1,35.6,0.0,999.9,1
2020-02-03,2020,02,03,38.8,32.1,1005.6,9.9,8.1,15,22.0,45.0,32.0,0.0,999.9,0
2020-02-04,2020,02,04,42.2,39.4,1010.2,9.2,7.6,14,999.9,48.0,32.0,0.0,999.9,1
2020-02-05,2020,02,05,41.0,35.8,1012.6,8.0,8.4,15.9,22.9,48.0,32.0,0.06,999.9,1
2020-02-06,2020,02,06,41.6,37.8,1010.3,5.3,12.9,25.1,29.9,48.9,35.1,0.24,999.9,1
2020-02-07,2020,02,07,46.3,43.6,989.1,5.0,16.4,39,51.1,55.9,37.9,0.88,999.9,1
2020-02-08,2020,02,08,34.2,19.7,1013.3,10.0,17.5,32.1,47.0,39.0,28.9,0.03,999.9,0
2020-02-09,2020,02,09,33.1,21.6,1032.4,10.0,7.6,13,999.9,39.9,23.0,0.0,999.9,0
2020-02-10,2020,02,10,43.5,37.7,1025.2,9.1,14.1,20,27.0,46.9,39.0,0.01,999.9,1
2020-02-11,2020,02,11,44.1,42.8,1017.5,3.1,6,9.9,999.9,48.9,41.0,0.31,999.9,1
2020-02-12,2020,02,12,40.7,29.4,1015.6,9.9,11.4,18.1,28.9,48.9,37.0,0.73,999.9,0
2020-02-13,2020,02,13,41.3,38.0,1010.6,7.0,7.9,17.1,999.9,45.0,37.0,0.45,999.9,1
2020-02-14,2020,02,14,33.8,24.6,1017.3,10.0,13.8,25.1,32.1,45.0,23.0,0.2,999.9,0
2020-02-15,2020,02,15,22.8,12.1,1033.9,10.0,9.3,17.1,21.0,39.0,19.0,0.0,999.9,0
2020-02-16,2020,02,16,37.9,29.8,1023.3,10.0,13.4,19,27.0,43.0,19.0,0.0,999.9,0
2020-02-17,2020,02,17,38.5,29.4,1021.6,10.0,7.2,14,999.9,48.0,30.9,0.0,999.9,0
2020-02-18,2020,02,18,37.2,30.1,1028.3,9.2,12.1,20,28.9,48.0,28.0,0.0,999.9,1
2020-02-19,2020,02,19,44.0,34.0,1018.1,7.7,12.1,17.1,25.1,48.0,28.0,0.03,999.9,1
2020-02-20,2020,02,20,31.4,11.5,1028.0,10.0,10.9,17.1,24.1,46.9,28.0,0.0,999.9,0
2020-02-21,2020,02,21,27.7,13.6,1028.7,9.9,11.6,18.1,25.1,33.1,21.9,0.0,999.9,1
2020-02-22,2020,02,22,34.9,20.3,1023.6,10.0,12.5,20,26.0,43.0,19.9,0.0,999.9,0
2020-02-23,2020,02,23,39.9,33.7,1021.4,9.8,9.1,12,999.9,48.0,30.0,0.0,999.9,0
2020-02-24,2020,02,24,41.1,36.7,1018.9,8.9,7.7,11.1,999.9,50.0,28.9,0.0,999.9,1
2020-02-25,2020,02,25,44.0,41.8,1014.5,5.6,5.4,8.9,999.9,50.0,28.9,0.05,999.9,1
2020-02-26,2020,02,26,44.5,42.8,1013.9,4.7,7,12,999.9,48.0,42.1,0.08,999.9,1
2020-02-27,2020,02,27,44.6,39.4,1000.5,4.8,18.5,28,41.0,51.1,39.0,0.43,999.9,1
2020-02-28,2020,02,28,36.4,17.4,1007.4,10.0,21.5,27,40.0,51.1,32.0,0.21,999.9,0
2020-02-29,2020,02,29,34.1,16.6,1009.1,10.0,8.9,19,22.9,39.9,24.1,0.0,999.9,0
2020-03-01,2020,03,01,28.7,11.6,1015.4,10.0,13,18.1,24.1,39.0,21.9,0.0,999.9,0
